pl|g|ex_pl|tr|ex_tr
trenować|fiil|Trenuję do maratonu od trzech miesięcy.|antrenman yapmak|Üç aydır maratona antrenman yapıyorum.
pływać|fiil|Pływam w basenie co tydzień.|yüzmek|Her hafta yüzme havuzunda yüzüyorum.
skakać|fiil|Skaczę na skakance dla rozgrzewki.|zıplamak|Isınmak için atlama ipiyle atlıyorum.
rozgrzewać się|fiil|Rozgrzewam się przed każdym treningiem.|ısınmak|Her antrenman öncesinde ısınıyorum.
poprawić|fiil|Chcę poprawić swoje wyniki w biegu.|iyileştirmek|Koşu sonuçlarımı iyileştirmek istiyorum.
unikać|fiil|Unikam intensywnych ćwiczeń przy kontuzji.|kaçınmak|Sakatlıkta yoğun egzersizden kaçınıyorum.
zachęcać|fiil|Zachęcam przyjaciół do aktywności.|teşvik etmek|Arkadaşlarımı aktiviteye teşvik ediyorum.
aktywny|sifat|Staram się być aktywny fizycznie.|aktif|Fiziksel olarak aktif olmaya çalışıyorum.
intensywny|sifat|To był intensywny trening.|yoğun|Yoğun bir antrenman oldu.
fizyczny|sifat|Aktywność fizyczna jest kluczowa dla zdrowia.|fiziksel|Fiziksel aktivite sağlık için çok önemlidir.
zewnętrzny|sifat|Preferuję ćwiczenia zewnętrzne.|açık hava, dış|Açık hava egzersizlerini tercih ediyorum.
świeży|sifat|Świeże powietrze jest dobre po treningu.|taze|Antrenman sonrası taze hava iyi gelir.
codziennie|zarf|Ćwiczę codziennie przez pół godziny.|her gün|Her gün yarım saat egzersiz yapıyorum.
intensywnie|zarf|Trenuję intensywnie przed zawodami.|yoğun bir şekilde|Yarışmadan önce yoğun antrenman yapıyorum.
mieszkanie|meski|Wynajmuję mieszkanie w centrum.|daire|Merkezde daire kiralıyorum.
nieruchomość|meski|Ceny nieruchomości rosną.|gayrimenkul|Gayrimenkul fiyatları artıyor.
renowacja|meski|Renowacja starego budynku trwała rok.|restorasyon|Eski binanın restorasyonu bir yıl sürdü.
mieszkaniec|meski|Mieszkańcy protestują przeciwko nowej inwestycji.|sakin, oturan|Sakinler yeni yatırıma karşı protesto yapıyor.
ściana|meski|Pomalowałem ściany na biało.|duvar|Duvarları beyaza boyadım.
ławka|meski|Usiedliśmy na ławce w parku.|bank, sıra|Parkta bankta oturduk.
biuro|meski|Pracuję w biurze w centrum.|ofis, büro|Merkezde ofiste çalışıyorum.
klimat|meski|Klimat w tej firmie jest bardzo dobry.|iklim, ortam|Bu şirketteki ortam çok iyi.
warunek|meski|Warunkiem najmu jest depozyt.|koşul, şart|Kiralama koşulu depozitodur.
naprawa|meski|Naprawa dachu kosztuje dużo.|onarım|Çatı onarımı çok para tutuyor.
kupić|fiil|Chcę kupić mieszkanie w przyszłym roku.|satın almak|Gelecek yıl daire satın almak istiyorum.
wynajmować|fiil|Wynajmuję mieszkanie od pięciu lat.|kiralamak|Beş yıldır daire kiralıyorum.
przeprowadzić się|fiil|Przeprowadziłem się do nowego domu.|taşınmak|Yeni eve taşındım.
remontować|fiil|Remontujemy kuchnię od miesiąca.|tadilat yapmak|Bir aydır mutfağı yeniliyoruz.
mieszkać|fiil|Mieszkam w Warszawie od dziesięciu lat.|oturmak, yaşamak|On yıldır Varşova'da yaşıyorum.
oferować|fiil|Ta agencja oferuje dobre mieszkania.|teklif etmek|Bu ajans iyi daireler sunuyor.
wystawiać|fiil|Wystawiają mieszkanie na sprzedaż.|satışa çıkarmak|Daireyi satışa çıkarıyorlar.
tradycyjny|sifat|To tradycyjny polski dom.|geleneksel|Bu geleneksel bir Lehçe evidir.
wolny|sifat|Mam wolny pokój do wynajęcia.|serbest, boş|Kiraya verecek boş odam var.
popularny|sifat|To popularny dzielnica wśród studentów.|popüler|Burası öğrenciler arasında popüler bir semt.
włoski|sifat|Mam włoski styl w mieszkaniu.|İtalyan|Dairemde İtalyan tarzı var.
większy|sifat|Szukam większego mieszkania.|daha büyük|Daha büyük daire arıyorum.
poważny|sifat|To poważny problem z instalacją.|ciddi|Tesisatta ciddi bir sorun var.
tańszy|sifat|Szukam tańszego lokalu.|daha ucuz|Daha ucuz bir yer arıyorum.
głównie|zarf|Mieszkam głównie w centrum.|ağırlıklı olarak|Ağırlıklı olarak merkezde yaşıyorum.
zwłaszcza|zarf|Lubię Warszawę, zwłaszcza Stare Miasto.|özellikle|Varşova'yı seviyorum, özellikle Eski Şehir'i.
uczeń|meski|Uczeń przygotowuje się do egzaminu.|öğrenci|Öğrenci sınava hazırlanıyor.
lekcja|meski|Lekcja matematyki zaczyna się o ósmej.|ders|Matematik dersi saat sekizde başlıyor.
zadanie|meski|Odrobiłem zadanie domowe.|ödev, görev|Ev ödevini yaptım.
wykład|meski|Wykład trwa dwie godziny.|ders, konferans|Ders iki saat sürüyor.
studia|meski|Studiuję informatykę na Politechnice.|üniversite eğitimi|Teknik Üniversite'de bilgisayar mühendisliği okuyorum.
absolwent|meski|Jestem absolwentem Uniwersytetu Warszawskiego.|mezun|Varşova Üniversitesi mezunuyum.
klasa|meski|W mojej klasie jest trzydziestu uczniów.|sınıf|Sınıfımda otuz öğrenci var.
nauka|meski|Nauka języków obcych otwiera drzwi.|bilim, öğrenim|Yabancı dil öğrenimi kapılar açar.
ocena|meski|Dostałam bardzo dobrą ocenę z polskiego.|not, değerlendirme|Lehçeden çok iyi not aldım.
język obcy|meski|Znajomość języka obcego jest dziś konieczna.|yabancı dil|Bugün yabancı dil bilmek zorunludur.
uczyć się|fiil|Uczę się polskiego codziennie.|öğrenmek|Her gün Lehçe öğreniyorum.
uczyć|fiil|Uczę matematyki w liceum.|öğretmek|Lisede matematik öğretiyorum.
odrabiać|fiil|Odrabiam lekcje po szkole.|yapmak (ödev)|Okuldan sonra ödevlerimi yapıyorum.
zdać|fiil|Zdałam maturę z wyróżnieniem.|geçmek (sınav)|Lise bitirme sınavını üstünlük ödülüyle geçtim.
spóźniać się|fiil|Często spóźniam się na pierwsze lekcje.|geç kalmak|Sık sık ilk derslere geç kalıyorum.
uważać|fiil|Uważaj na lekcji matematyki.|dikkat etmek|Matematik dersinde dikkat et.
domowy|sifat|Zadanie domowe jest na jutro.|ev (ödevi)|Ev ödevi yarın içindir.
pisemny|sifat|Mamy jutro test pisemny.|yazılı|Yarın yazılı sınavımız var.
pełnoletni|sifat|Musisz być pełnoletni, żeby głosować.|reşit|Oy kullanmak için reşit olman gerekir.
akademicki|sifat|Rok akademicki zaczyna się w październiku.|akademik|Akademik yıl Ekim'de başlıyor.
uważnie|zarf|Słuchaj uważnie nauczyciela.|dikkatli bir şekilde|Öğretmeni dikkatlice dinle.
prognoza|meski|Prognoza pogody zapowiada deszcz.|tahmin|Hava tahmini yağmur bildiriyor.
deszcz|meski|Pada deszcz, weź parasol.|yağmur|Yağmur yağıyor, şemsiye al.
zima|meski|Zima w Polsce bywa mroźna.|kış|Polonya'da kış dondurucu olabilir.
wiosna|meski|Wiosna przyszła wcześniej tego roku.|ilkbahar|Bu yıl ilkbahar erken geldi.
lato|meski|W lato jedziemy nad morze.|yaz|Yazın denize gidiyoruz.
jesień|meski|Jesień to moja ulubiona pora roku.|sonbahar|Sonbahar benim favori mevsimim.
stopień|meski|Dziś jest tylko pięć stopni.|derece|Bugün sadece beş derece var.
spadek|meski|Prognozowany jest spadek temperatury.|düşüş|Sıcaklık düşüşü tahmin ediliyor.
padać|fiil|Pada śnieg od wczoraj.|yağmak|Dünden beri kar yağıyor.
wiać|fiil|Wiatr wieje bardzo mocno.|esmek|Rüzgar çok kuvvetli esiyor.
mocny|sifat|Mocny wiatr powalił drzewa.|güçlü, şiddetli|Şiddetli rüzgar ağaçları devirdi.
zimny|sifat|Dziś jest zimny dzień.|soğuk|Bugün soğuk bir gün.
naturalny|sifat|Produkt jest w stu procentach naturalny.|doğal|Ürün yüzde yüz doğaldır.
ciepło|zarf|Na zewnątrz jest ciepło.|sıcak (bir şekilde)|Dışarısı sıcak.
fryzjer|meski|Umówiłam się do fryzjera.|kuaför|Kuaföre randevu aldım.
fryzura|meski|Zmieniłam fryzurę na krótką.|saç modeli|Saç modelimi kısa yaptırdım.
imieniny|meski|Jutro są imieniny Anny.|isim günü|Yarın Anna'nın isim günü.
niespodzianka|meski|Przygotowałam niespodziankę dla przyjaciółki.|sürpriz|Arkadaşım için sürpriz hazırladım.
prezent|meski|Kupiłem prezent na urodziny.|hediye|Doğum günü için hediye aldım.
rodzina|meski|Moja rodzina mieszka w Krakowie.|aile|Ailem Krakov'da yaşıyor.
decyzja|meski|Podjąłem ważną decyzję.|karar|Önemli bir karar verdim.
budzik|meski|Budzik zadzwonił o szóstej rano.|çalar saat|Çalar saat sabah altıda çaldı.
korki|meski|Utknąłem w korkach przez godzinę.|trafik sıkışıklığı|Bir saat trafik sıkışıklığında kaldım.
spóźnienie|meski|Przepraszam za spóźnienie.|gecikme|Geç kaldığım için özür dilerim.
abonament|meski|Płacę abonament za streaming.|abonelik|Yayın platformu için abonelik ödüyorum.
opłata|meski|Opłata za parkowanie wynosi pięć złotych.|ücret|Park ücreti beş zlotidir.
musieć|fiil|Muszę jutro wstać wcześnie.|zorunda olmak|Yarın erken kalkmak zorundayım.
móc|fiil|Czy mogę ci pomóc?|-ebilmek|Sana yardımcı olabilir miyim?
chcieć|fiil|Chcę nauczyć się polskiego.|istemek|Lehçe öğrenmek istiyorum.
potrzebować|fiil|Potrzebuję pomocy z tym zadaniem.|ihtiyaç duymak|Bu ödevde yardıma ihtiyacım var.
wychodzić|fiil|Wychodzę z domu o ósmej.|çıkmak|Saat sekizde evden çıkıyorum.
czekać|fiil|Czekam na autobus od dziesięciu minut.|beklemek|On dakikadır otobüs bekliyorum.
zapomnieć|fiil|Zapomniałem parasola w domu.|unutmak|Şemsiyeyi evde unutdum.
pamiętać|fiil|Pamiętaj o spotkaniu o trzeciej.|hatırlamak|Üçteki toplantıyı unutma.
pomyśleć|fiil|Pomyśl zanim podejmiesz decyzję.|düşünmek|Karar vermeden önce düşün.
odmówić|fiil|Odmówiłam zaproszenia na imprezę.|reddetmek|Partiye daveti reddettim.
przepraszać|fiil|Przepraszam za zamieszanie.|özür dilemek|Karışıklık için özür dilerim.
cieszyć się|fiil|Cieszę się z twoich sukcesów.|sevinmek|Başarıların için seviniyorum.
marzyć|fiil|Marzę o podróży do Japonii.|hayal etmek|Japonya'ya seyahat etmeyi hayal ediyorum.
zaspać|fiil|Zasnąłem i spóźniłem się na pociąg.|uyuyakalmak|Uyuyakaldım ve treni kaçırdım.
wspólny|sifat|Mamy wspólne zainteresowania.|ortak|Ortak ilgi alanlarımız var.
kolejny|sifat|To kolejny problem w tym tygodniu.|bir sonraki|Bu haftaki bir sonraki sorun.
konkretny|sifat|Potrzebuję konkretnej odpowiedzi.|belirli, somut|Belirli bir cevaba ihtiyacım var.
określony|sifat|Mam określony budżet na wakacje.|belirlenmiş|Tatil için belirlenmiş bütçem var.
wreszcie|zarf|Wreszcie skończyłem projekt.|nihayet, sonunda|Nihayet projeyi bitirdim.
znowu|zarf|Znowu spóźniłeś się na spotkanie.|yine, tekrar|Toplantıya yine geç kaldın.
zawsze|zarf|Zawsze myję ręce przed jedzeniem.|her zaman|Yemekten önce her zaman ellerimi yıkarım.
nigdy|zarf|Nigdy nie byłam w Australii.|asla, hiçbir zaman|Hiç Avustralya'ya gitmedim.
jeszcze|zarf|Jeszcze nie skończyłem raportu.|hâlâ, daha|Raporu henüz bitirmedim.
już|zarf|Już skończyłem zadanie.|artık, zaten|Görevi zaten bitirdim.
dla|zarf|Kupiłem prezent dla mamy.|için|Annem için hediye aldım.
do|zarf|Idę do sklepu.|-e/-a, -e kadar|Mağazaya gidiyorum.
dzięki|zarf|Dzięki tobie zdałem egzamin.|sayesinde|Seni sayesinde sınavı geçtim.
koło|zarf|Mieszkam koło parku.|yanında|Parkın yanında yaşıyorum.
między|zarf|Między nami nie ma tajemnic.|arasında|Aramızda sır yok.
mimo|zarf|Mimo deszczu wyszłam na spacer.|-e rağmen|Yağmura rağmen yürüyüşe çıktım.
na|zarf|Czekam na autobus.|üzerinde, -e/-a|Otobüs bekliyorum.
nad|zarf|Dom stoi nad jeziorem.|üzerinde, üstünde|Ev gölün üzerinde duruyor.
obok|zarf|Siedzę obok okna.|yanında|Pencerenin yanında oturuyorum.
od|zarf|Uczę się polskiego od roku.|-den/-dan|Bir yıldır Lehçe öğreniyorum.
około|zarf|Przyjdę około południa.|yaklaşık, civarında|Öğlen civarı geleceğim.
po|zarf|Po pracy idę na siłownię.|sonra, boyunca|İşten sonra spor salonuna gidiyorum.
pod|zarf|Kot śpi pod stołem.|altında|Kedi masanın altında uyuyor.
podczas|zarf|Podczas podróży czytam książki.|sırasında, esnasında|Yolculuk sırasında kitap okuyorum.
ponad|zarf|Firma zatrudnia ponad sto osób.|üzerinde, -den fazla|Şirket yüzden fazla kişi çalıştırıyor.
poza|zarf|Poza pracą lubię gotować.|dışında, haricinde|İş dışında yemek pişirmeyi seviyorum.
przed|zarf|Przed kolacją myję ręce.|önünde, -den önce|Akşam yemeğinden önce ellerimi yıkarım.
przez|zarf|Jadę przez centrum.|boyunca, aracılığıyla|Merkezden geçiyorum.
przy|zarf|Siedzę przy oknie.|yanında, -de/-da|Pencerenin yanında oturuyorum.
w|zarf|Mieszkam w Warszawie.|-de/-da, içinde|Varşova'da yaşıyorum.
według|zarf|Według mnie to dobry pomysł.|-e göre|Bana göre bu iyi bir fikir.
wokół|zarf|Wokół domu jest ogród.|etrafında|Evin etrafında bahçe var.
wśród|zarf|Wśród uczniów jest wielu zdolnych.|arasında|Öğrenciler arasında pek çok yetenekli var.
wzdłuż|zarf|Spacerujemy wzdłuż rzeki.|boyunca|Nehir boyunca yürüyoruz.
z|zarf|Wróciłem z podróży.|-den/-dan, ile|Seyahatten döndüm.
za|zarf|Dziękuję za pomoc.|arkasında, için|Yardımın için teşekkürler.
zamiast|zarf|Zamiast kawy piję herbatę.|yerine|Kahve yerine çay içiyorum.
a|zarf|Lubię herbatę, a ona kawę.|ve, ama|Ben çay seviyorum, o ise kahve.
aby|zarf|Uczę się, aby zdać egzamin.|-mek/-mak için|Sınavı geçmek için çalışıyorum.
albo|zarf|Pójdziemy do kina albo do teatru.|veya, ya da|Sinemaya ya da tiyatroya gideceğiz.
ale|zarf|Chciałem pojechać, ale zachorowałem.|ama, fakat|Gitmek istedim ama hastalandım.
ani|zarf|Nie ma ani czasu, ani pieniędzy.|ne... ne de|Ne zamanı ne de parası var.
aż|zarf|Czekałem aż do wieczora.|-e kadar, ta ki|Akşama kadar bekledim.
bo|zarf|Nie przyszłam, bo byłam chora.|çünkü|Hasta olduğum için gelmedim.
chociaż|zarf|Chociaż było zimno, wyszłam na spacer.|-e rağmen|Soğuk olmasına rağmen yürüyüşe çıktım.
choć|zarf|Choć jest trudno, nie rezygnuję.|-e rağmen|Zor olsa da vazgeçmiyorum.
czy|zarf|Czy mówisz po polsku?|mi, yoksa|Lehçe biliyor musun?
czyli|zarf|Jestem lingwistą, czyli uczę się języków.|yani|Dilbilimciyim, yani dil öğreniyorum.
dlatego|zarf|Pada deszcz, dlatego zostanę w domu.|bu yüzden|Yağmur yağıyor, bu yüzden evde kalacağım.
gdy|zarf|Gdy przyjdziesz, zadzwoń.|zaman, -dığında|Geldiğinde ara.
gdyby|zarf|Gdybyś chciał, możemy pojechać razem.|eğer, -seydi|İsteseydin birlikte gidebilirdik.
jednak|zarf|Chciałem iść, jednak byłem zmęczony.|ancak, yine de|Gitmek istedim, ancak yorgundum.
jeśli|zarf|Jeśli chcesz, możemy pójść razem.|eğer|İstersen birlikte gidebiliriz.
jeżeli|zarf|Jeżeli zdasz egzamin, pójdziemy świętować.|eğer, şayet|Sınavı geçersen kutlamaya gideceğiz.
kiedy|zarf|Kiedy wrócisz do domu?|ne zaman, -dığında|Eve ne zaman döneceksin?
lecz|zarf|Chciałem pomóc, lecz nie wiedziałem jak.|ama, fakat|Yardım etmek istedim, ama nasıl yapacağımı bilemedim.
lub|zarf|Zadzwoń lub napisz wiadomość.|veya|Ara veya mesaj yaz.
natomiast|zarf|On lubi sport, natomiast ona woli czytać.|ise, oysa|O sporu sever, o ise okumayı tercih eder.
niż|zarf|Ona jest starsza niż ja.|-den/-dan (karşılaştırma)|O benden daha büyük.
oraz|zarf|Kupię chleb oraz mleko.|ve, ile|Ekmek ve süt alacağım.
ponieważ|zarf|Nie przyszedłem, ponieważ byłem chory.|çünkü, -dığı için|Hasta olduğum için gelmedim.
również|zarf|Ona również mówi po polsku.|ayrıca, de/da|O da Lehçe biliyor.
także|zarf|Uczę się polskiego, a także rosyjskiego.|ayrıca, de/da|Lehçe öğreniyorum, aynı zamanda Rusça da.
więc|zarf|Byłem zmęczony, więc poszedłem spać.|bu yüzden, dolayısıyla|Yorgundum, bu yüzden uyudum.
zarówno|zarf|Lubię zarówno muzykę klasyczną, jak i jazz.|hem... hem de|Hem klasik müziği hem de cazı seviyorum.
że|zarf|Myślę, że masz rację.|ki, -dığını|Haklı olduğunu düşünüyorum.
żeby|zarf|Mówię wolno, żebyś rozumiał.|-mek/-mak için, diye|Anlayasın diye yavaş konuşuyorum.
chyba że|zarf|Przyjdę, chyba że zachoruję.|olmadıkça, meğer ki|Hasta olmazsam gelirim.
